SpT,PS1gmag,e_PS1gmag,PS1rmag,PS1imag,e_PS1imag,PS1zmag,e_PS1zmag,PS1ymag,e_PS1ymag,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,label
L0,,,,21.18,0.06,19.61,0.03,18.71,0.04,16.95,0.18,16.26,0.19,15.69,,15.17,0.04,14.91,0.08,12.0,,9.01,,true
L5.5,,,,22.55,0.09,20.85,0.06,19.67,0.07,17.03,0.2,16.11,0.2,15.66,0.2,14.8,0.03,14.47,0.05,12.72,,8.87,,true
L3.5,22.21,0.01,19.51,17.19,0.01,15.58,0.01,14.54,0.01,12.47,0.03,11.59,0.02,11.06,0.02,10.54,0.02,10.25,0.02,9.85,0.05,8.17,,true
L3:,,,,22.8,0.11,21.48,0.09,20.39,0.09,,,,,,,16.11,0.07,15.87,0.18,12.1,,8.6,,true
T6,,,,,,,,20.11,0.13,17.53,0.06,17.06,0.11,16.5,,17.32,0.11,15.23,0.06,13.0,,9.4,,true
L1,,,22.77,20.3,0.02,18.81,0.01,17.8,0.02,15.91,0.07,15.2,0.1,14.76,0.1,14.43,0.03,14.25,0.05,12.06,,8.76,,true
T7.5,,,,,,,,18.22,0.04,16.6,0.03,16.66,0.03,16.73,0.03,,,,,,,,,true
T7,,,,,,20.85,0.08,18.91,0.04,16.5,0.12,16.54,,15.74,,15.99,0.06,13.83,0.05,11.82,,8.56,,true
L1,,,,20.56,0.04,19.2,0.01,18.33,0.02,16.96,0.21,15.58,0.23,15.6,0.23,15.07,0.04,14.83,0.08,12.42,,8.57,,true
L0,,,21.06,18.75,0.01,17.22,0.01,16.28,0.01,14.45,0.03,13.67,0.03,13.24,0.03,12.88,0.02,12.59,0.03,12.27,,8.85,,true
L1,,,,21.02,0.04,19.45,0.02,18.47,0.04,16.68,0.16,16.09,0.2,15.58,0.2,15.4,0.04,15.17,0.09,12.52,,8.75,,true
L0,,,,21.7,0.06,20.27,0.05,19.25,0.03,,,,,,,15.51,0.04,15.16,0.09,12.0,,8.77,,true
L2beta,,,20.08,17.75,0.01,16.25,0.01,15.24,0.01,13.06,0.02,12.06,0.02,11.37,0.02,10.78,0.02,10.4,0.02,9.79,0.05,8.64,0.34,true
T5,,,,,,20.35,0.04,18.62,0.02,16.15,0.08,16.04,0.2,15.8,0.2,15.32,0.04,13.73,0.03,12.65,0.46,8.81,,true
L7pec,,,,21.16,0.11,19.02,0.03,18.03,0.02,15.6,0.07,13.97,0.03,13.05,0.03,11.88,0.02,11.26,0.02,10.15,0.06,8.25,,true
T2::,,,,,,,,19.98,0.17,,,,,,,15.52,0.04,14.86,0.07,11.84,,8.4,,true
L9,,,,21.65,0.16,19.0,0.01,17.95,0.02,15.85,0.07,14.67,0.07,14.17,0.07,13.43,0.03,12.96,0.03,11.78,,8.61,0.38,true
T8.5,,,,,,21.0,0.03,19.36,0.04,16.72,0.16,16.51,,15.86,,15.92,0.06,13.03,0.03,11.58,0.19,8.63,,true
L1:,,,20.59,18.05,0.01,16.49,0.01,15.55,0.01,13.78,0.02,13.08,0.03,12.65,0.03,12.33,0.02,12.07,0.02,11.5,0.2,8.85,,true
L2:,,,,22.62,0.12,21.02,0.11,19.87,0.1,,,,,,,15.85,0.06,16.1,0.24,12.11,,8.32,,true
L3.5,,,22.47,20.2,0.02,18.55,0.02,17.51,0.02,15.28,0.05,14.16,0.04,13.47,0.04,12.74,0.02,12.42,0.03,12.22,0.37,8.41,,true
L4.5,,,,21.47,0.09,19.82,0.03,18.7,0.04,16.36,0.11,15.56,0.16,15.46,0.16,14.67,0.03,14.35,0.06,11.46,,8.76,,true
L0,,,,21.46,0.04,20.12,0.05,19.19,0.04,,,,,,,,,,,,,,,true
L1,,,,20.07,0.04,18.68,0.01,17.66,0.01,15.73,0.05,14.89,0.07,14.38,0.07,14.0,0.03,13.76,0.05,12.02,,8.85,,true
L2gamma,,,,21.27,0.06,19.69,0.02,18.67,0.03,16.44,0.11,15.27,0.08,14.44,0.07,13.71,0.03,13.25,0.03,11.77,,8.36,,true
L1.5,,,,21.99,0.14,20.42,0.03,19.4,0.05,,,,,,,16.05,0.06,15.76,0.18,12.4,,8.69,,true
L0,,,22.36,19.87,0.01,18.43,0.01,17.5,0.02,15.7,0.06,14.92,0.08,14.36,0.08,14.09,0.03,13.8,0.04,12.13,,8.62,,true
L0,,,20.87,18.61,0.01,17.17,0.01,16.21,0.01,14.31,0.03,13.44,0.03,12.9,0.03,12.57,0.02,12.27,0.03,11.54,0.41,8.46,,true
L0,,,,20.55,0.03,19.1,0.02,18.11,0.02,16.54,0.14,15.58,0.13,15.17,0.13,14.9,0.03,14.6,0.06,12.42,,8.99,,true
L0:,,,,21.92,0.06,20.42,0.04,19.44,0.03,,,,,,,15.85,0.05,15.51,0.12,11.88,,8.16,,true
L9,,,,,,20.01,0.03,18.85,0.04,16.74,0.13,15.66,0.12,15.08,0.12,14.22,0.03,13.65,0.04,11.75,,8.76,,true
L6beta,,,,21.31,0.06,19.4,0.04,18.43,0.02,16.29,0.08,14.9,0.06,14.15,0.06,13.18,0.02,12.71,0.03,12.2,0.39,8.18,,true
L5,,,,21.3,0.19,19.83,0.02,18.7,0.02,16.53,0.13,15.64,0.18,15.33,0.18,14.68,0.03,14.47,0.06,12.61,,8.9,,true
L1:,,,,22.39,0.09,21.05,0.06,20.06,0.05,,,,,,,,,,,,,,,true
L0,,,,20.49,0.03,19.02,0.01,18.22,0.01,16.58,0.15,16.21,,15.34,,15.32,0.04,14.99,0.07,12.84,,8.91,,true
L8,,,,21.21,0.05,19.01,0.01,18.04,0.02,15.82,0.06,14.51,0.04,13.71,0.04,12.72,0.02,12.19,0.03,11.38,0.21,8.77,,true
L0,,,,20.56,0.02,19.04,0.01,18.09,0.01,16.29,0.12,15.72,,14.62,,14.93,0.03,14.58,0.06,12.32,,8.82,,true
L0,,,22.81,20.57,0.02,19.05,0.02,18.13,0.02,16.33,0.08,15.72,0.15,15.34,0.15,14.88,0.03,14.41,0.06,11.87,,8.72,,true
L4,,,,21.51,0.05,20.05,0.05,19.02,0.04,,,,,,,15.26,0.04,15.02,0.09,11.9,,8.2,,true
L3.5,,,,22.46,0.06,20.73,0.04,19.65,0.07,,,,,,,15.43,0.04,15.01,0.09,11.89,,8.81,,true
L3.5,,,,,,21.19,0.07,20.06,0.06,,,,,,,15.75,0.05,15.46,0.11,12.34,,8.91,,true
L1,,,,21.37,0.06,19.85,0.02,18.91,0.03,,,,,,,15.45,0.04,15.25,0.1,12.48,,8.15,,true
T2,,,,,,,,19.36,0.04,17.02,0.19,15.95,,17.04,,,,,,,,,,true
