SpT,PS1gmag,e_PS1gmag,PS1rmag,PS1imag,e_PS1imag,PS1zmag,e_PS1zmag,PS1ymag,e_PS1ymag,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,label
M1,18.02,0.01,16.81,15.85,0.01,15.43,0.01,15.23,0.01,14.07,0.02,13.43,0.02,13.2,0.03,13.12,0.03,13.01,0.03,12.32,,8.86,0.44,false
M5,20.27,0.02,18.96,17.12,0.01,16.23,0.01,15.78,0.01,14.47,0.04,13.78,0.03,13.54,0.04,13.26,0.02,13.08,0.03,12.31,,8.72,0.42,false
M3,18.5,0.04,17.39,16.04,0.01,15.43,0.01,15.16,0.01,13.9,0.03,13.3,0.03,13.02,0.03,12.82,0.02,12.61,0.03,11.39,0.18,8.76,0.41,false
M3,19.23,0.01,18.07,16.87,0.01,16.31,0.01,16.04,0.01,14.94,0.04,14.22,0.04,13.98,0.06,13.76,0.03,13.75,0.04,12.43,0.51,8.76,0.37,false
M6,21.07,0.03,19.76,17.81,0.01,16.87,0.01,16.38,0.01,14.91,0.05,14.4,0.07,14.0,0.06,13.87,0.03,13.67,0.03,12.3,,8.88,0.44,false
M3,17.79,0.01,16.67,15.36,0.01,14.73,0.01,14.43,0.01,13.18,0.02,12.56,0.02,12.32,0.03,12.1,0.02,11.91,0.02,10.0,0.06,8.54,0.33,false
M4,17.67,0.01,16.47,14.87,0.01,14.15,0.01,13.77,0.01,12.5,0.02,11.9,0.02,11.64,0.02,11.49,0.02,11.29,0.02,11.39,0.17,8.88,0.45,false
M4,20.18,0.03,18.9,17.34,0.01,16.62,0.01,16.27,0.01,15.02,0.04,14.65,0.06,14.19,0.06,13.95,0.03,13.8,0.04,12.04,,8.94,0.5,false
M0,18.29,0.01,17.21,16.62,0.01,16.33,0.01,16.15,0.01,14.88,0.04,14.18,0.04,13.89,0.05,13.57,0.03,13.46,0.03,10.86,0.11,8.45,0.33,false
M6,20.67,0.02,19.39,17.22,0.01,16.25,0.01,15.73,0.01,14.29,0.03,13.76,0.04,13.29,0.05,13.2,0.02,12.97,0.03,12.0,,8.74,0.43,false
M4,18.49,0.01,17.24,15.87,0.01,15.23,0.01,14.93,0.01,13.66,0.02,13.07,0.03,12.83,0.03,12.67,0.02,12.5,0.03,12.14,,8.74,0.49,false
M3,19.14,0.01,18.0,16.78,0.01,16.26,0.01,15.98,0.01,14.73,0.03,14.18,0.05,13.96,0.05,13.84,0.03,13.63,0.03,12.61,,8.98,0.54,false
M5,20.09,0.02,18.74,16.89,0.01,16.05,0.01,15.65,0.01,14.32,0.03,13.73,0.04,13.42,0.04,13.25,0.03,13.03,0.03,11.98,,8.8,0.43,false
M2,19.02,0.01,17.86,16.83,0.01,16.38,0.01,16.16,0.01,15.0,0.04,14.36,0.04,14.03,0.05,14.02,0.03,13.94,0.04,12.39,,8.79,0.45,false
M3,19.46,0.01,18.33,17.1,0.01,16.54,0.01,16.27,0.01,14.91,0.04,14.26,0.05,14.0,0.05,13.7,0.03,13.44,0.03,11.25,0.14,9.16,0.53,false
M3,19.27,0.01,18.08,16.74,0.01,16.15,0.01,15.85,0.01,14.63,0.04,13.98,0.04,13.81,0.06,13.61,0.03,13.46,0.03,12.35,,9.1,0.5,false
M6,20.98,0.03,19.66,17.67,0.01,16.7,0.01,16.19,0.01,14.75,0.04,14.1,0.05,13.77,0.04,13.61,0.03,13.43,0.03,12.07,,9.0,0.44,false
M5,21.22,0.03,19.82,17.75,0.01,16.8,0.01,16.34,0.01,15.02,0.05,14.43,0.04,14.08,0.06,13.93,0.03,13.66,0.04,12.37,,9.03,0.52,false
M2,18.82,0.01,17.63,16.58,0.01,16.1,0.01,15.87,0.01,14.72,0.04,14.13,0.05,14.03,0.06,13.78,0.03,13.64,0.04,12.49,,8.24,0.27,false
M2,18.99,0.03,17.92,17.05,0.03,16.51,0.02,16.32,0.02,15.02,0.04,14.34,0.05,14.18,0.06,13.89,0.03,13.83,0.03,12.2,,8.96,0.49,false
M3,19.15,0.02,17.95,16.75,0.01,16.2,0.01,15.94,0.01,14.77,0.03,14.18,0.04,14.03,0.06,13.72,0.03,13.53,0.03,12.34,0.34,9.09,0.41,false
M3,18.72,0.01,17.45,16.09,0.01,15.47,0.01,15.18,0.01,13.97,0.02,13.39,0.03,13.11,0.03,12.95,0.02,12.77,0.03,12.33,0.38,9.09,0.51,false
M4,18.96,0.01,17.82,16.4,0.01,15.78,0.01,15.5,0.01,14.35,0.03,13.79,0.03,13.52,0.04,13.37,0.02,13.12,0.03,12.63,0.47,8.87,0.42,false
M5,20.52,0.02,19.24,17.43,0.01,16.6,0.01,16.16,0.01,14.94,0.04,14.2,0.05,13.85,0.05,13.68,0.03,13.45,0.03,12.25,0.35,8.83,0.39,false
M5,18.63,0.01,17.32,15.53,0.01,14.74,0.01,14.34,0.01,13.01,0.02,12.4,0.03,12.1,0.03,11.93,0.02,11.73,0.02,11.63,0.25,8.97,0.51,false
M2,17.6,0.02,16.4,15.41,0.02,15.19,0.09,14.61,0.05,13.18,0.03,12.58,0.04,12.37,0.03,12.22,0.02,12.12,0.02,11.52,0.19,8.29,0.26,false
M1,18.84,0.01,17.66,16.74,0.01,16.35,0.01,16.12,0.01,14.95,0.04,14.33,0.06,14.11,0.05,13.84,0.03,13.49,0.03,11.1,0.12,7.82,0.19,false
M3,18.5,0.01,17.23,15.9,0.01,15.31,0.01,15.0,0.01,13.78,0.02,13.22,0.03,12.97,0.03,12.82,0.02,12.64,0.03,12.36,0.42,8.98,0.47,false
M3,19.1,0.01,18.06,16.88,0.01,16.35,0.01,16.01,0.01,14.68,0.04,14.07,0.05,13.7,0.05,13.47,0.02,13.19,0.03,10.23,0.07,8.89,0.43,false
M6,20.61,0.02,19.29,17.2,0.01,16.21,0.01,15.67,0.01,14.23,0.03,13.68,0.03,13.34,0.03,13.12,0.02,12.86,0.02,12.63,0.49,9.02,0.54,false
M2,17.74,0.01,16.49,15.51,0.01,15.06,0.01,14.83,0.01,13.67,0.02,13.13,0.03,12.85,0.03,12.72,0.02,12.56,0.03,12.13,0.34,8.97,0.53,false
M4,18.38,0.01,17.13,15.53,0.01,14.78,0.01,14.4,0.01,13.04,0.02,12.39,0.03,12.16,0.02,12.0,0.02,11.85,0.02,11.83,0.26,9.04,0.48,false
M0,18.25,0.01,17.12,16.46,0.01,16.16,0.01,15.97,0.01,14.9,0.04,14.29,0.05,14.1,0.07,13.88,0.03,13.81,0.03,12.23,0.29,9.22,0.51,false
M1,18.73,0.02,17.52,16.77,0.01,16.42,0.01,16.24,0.01,15.21,0.04,14.45,0.04,14.24,0.06,13.96,0.03,13.9,0.03,12.16,0.25,9.12,0.35,false
M3,18.62,0.01,17.46,16.2,0.01,15.65,0.01,15.4,0.01,14.13,0.03,13.56,0.03,13.33,0.04,13.21,0.03,13.1,0.03,11.92,,8.85,0.49,false
M1,18.79,0.01,17.56,16.69,0.01,16.29,0.01,16.1,0.01,14.94,0.04,14.29,0.04,14.11,0.07,14.02,0.03,13.91,0.05,12.0,,8.83,0.49,false
M3,19.34,0.01,18.14,16.91,0.01,16.36,0.01,16.13,0.01,14.95,0.04,14.33,0.04,14.13,0.06,13.95,0.03,13.72,0.04,11.56,,8.56,0.46,false
M1,18.61,0.01,17.4,16.45,0.01,16.04,0.01,15.84,0.01,14.66,0.04,14.09,0.03,13.78,0.05,13.71,0.03,13.67,0.04,12.31,,8.36,0.35,false
M4,18.99,0.01,17.86,16.39,0.01,15.74,0.01,15.42,0.01,14.21,0.03,13.67,0.03,13.44,0.03,13.32,0.03,13.1,0.03,12.42,,8.97,0.46,false
M5,20.91,0.03,19.55,17.58,0.01,16.66,0.01,16.19,0.01,14.82,0.04,14.22,0.04,13.91,0.04,13.67,0.03,13.46,0.03,12.17,,9.21,0.49,false
M4,18.53,0.01,17.39,15.97,0.01,15.33,0.01,15.01,0.01,13.8,0.03,13.14,0.03,12.98,0.03,12.81,0.02,12.65,0.02,11.85,0.25,9.02,0.47,false
M4,18.91,0.01,17.63,15.98,0.01,15.2,0.01,14.83,0.01,13.57,0.02,12.95,0.03,12.71,0.02,12.5,0.02,12.3,0.02,11.99,0.29,9.2,0.5,false
M4,20.42,0.02,19.07,17.63,0.01,16.98,0.01,16.65,0.01,15.5,0.05,14.81,0.05,14.72,0.08,14.45,0.03,14.21,0.04,12.68,0.41,9.05,0.51,false
M2,19.14,0.01,17.89,16.89,0.01,16.44,0.01,16.2,0.01,15.08,0.04,14.43,0.06,14.29,0.06,14.12,0.03,13.91,0.04,12.12,,9.01,0.46,false
M0,18.6,0.01,17.41,16.86,0.01,16.59,0.01,16.45,0.01,15.32,0.04,14.69,0.06,14.51,0.07,14.46,0.03,14.43,0.04,12.97,,9.34,0.54,false
M5,19.91,0.02,18.65,16.93,0.01,16.12,0.01,15.74,0.01,14.44,0.03,13.87,0.04,13.65,0.04,13.37,0.03,13.17,0.03,12.37,,9.16,0.46,false
M3,19.02,0.01,17.86,16.61,0.01,16.05,0.01,15.77,0.01,14.27,,13.93,0.03,13.75,0.04,13.6,0.03,13.51,0.03,12.27,,9.01,0.45,false
M5,20.92,0.04,19.61,17.69,0.01,16.8,0.01,16.35,0.01,15.06,0.04,14.49,0.04,14.07,0.07,13.87,0.03,13.65,0.04,12.36,,8.72,0.4,false
M0,17.78,0.01,16.62,16.01,0.01,15.71,0.01,15.56,0.01,14.44,0.03,13.81,0.04,13.6,0.05,13.56,0.03,13.58,0.03,12.36,,9.14,0.53,false
M7,19.07,0.01,17.7,15.15,0.01,14.0,0.01,13.36,0.01,11.83,0.02,11.23,0.03,10.87,0.02,10.65,0.02,10.43,0.02,10.18,0.05,9.18,0.44,false
M3,17.0,0.01,15.83,14.69,0.02,14.13,0.02,13.96,0.02,12.52,0.03,11.95,0.03,11.7,0.02,11.51,0.02,11.35,0.02,11.29,0.14,9.12,0.53,false
M5,17.93,0.01,16.66,15.02,0.01,14.25,0.01,13.88,0.01,12.62,0.03,12.01,0.02,11.7,0.02,11.54,0.02,11.35,0.02,11.05,0.09,9.25,0.43,false
M4,19.04,0.01,17.84,16.56,0.01,15.98,0.01,15.69,0.01,14.46,0.03,13.9,0.03,13.75,0.06,13.47,0.02,13.3,0.03,12.61,0.37,9.01,0.51,false
M5,19.69,0.01,18.38,16.39,0.01,15.43,0.01,14.94,0.01,13.55,0.03,12.9,0.03,12.63,0.03,12.38,0.02,12.19,0.02,11.94,0.27,9.45,0.54,false
M3,18.01,0.01,16.9,15.71,0.01,15.19,0.01,14.93,0.01,13.74,0.02,13.24,0.03,12.99,0.03,12.81,0.02,12.61,0.02,11.86,0.2,9.06,0.41,false
M2,19.08,0.01,17.87,16.83,0.01,16.37,0.01,16.15,0.01,14.93,0.04,14.36,0.05,14.14,0.05,14.03,0.03,13.85,0.03,12.33,,9.27,0.45,false
M2,19.0,0.01,17.75,16.84,0.01,16.43,0.01,16.22,0.01,15.13,0.04,14.53,0.05,14.44,0.08,14.18,0.03,14.04,0.04,12.47,,9.3,0.47,false
M4,19.0,0.01,17.69,16.05,0.01,15.29,0.01,14.93,0.01,13.62,0.03,13.05,0.04,12.79,0.03,12.55,0.02,12.36,0.02,11.81,0.16,9.4,0.48,false
M1,17.1,0.01,15.78,15.15,0.01,14.79,0.01,14.69,0.01,13.32,0.02,12.5,0.03,12.31,0.03,12.28,0.02,12.25,0.02,11.92,0.22,9.02,0.45,false
M5,21.05,0.02,19.67,17.77,0.01,16.89,0.01,16.45,0.01,15.14,0.05,14.47,0.05,14.18,0.07,14.01,0.03,13.81,0.03,12.81,,9.45,0.49,false
M1,17.89,0.01,16.69,15.91,0.01,15.54,0.01,15.38,0.01,14.26,0.03,13.64,0.03,13.45,0.04,13.32,0.02,13.2,0.03,12.65,,9.57,0.49,false
M4,19.26,0.03,18.26,16.83,0.01,16.0,0.01,15.57,0.01,14.22,0.03,13.62,0.03,13.37,0.04,13.18,0.02,12.85,0.02,10.56,0.06,8.32,0.19,false
M3,19.03,0.01,17.73,16.41,0.01,15.8,0.01,15.54,0.01,14.28,0.03,13.72,0.03,13.5,0.04,13.31,0.02,13.12,0.03,12.91,0.42,9.25,0.46,false
M3,20.03,0.03,18.86,17.54,0.01,16.95,0.01,16.64,0.01,15.45,0.04,14.79,0.06,14.6,0.09,14.25,0.03,14.05,0.03,11.99,0.19,9.17,0.44,false
M3,19.07,0.01,17.86,16.68,0.01,16.16,0.01,15.91,0.01,14.71,0.03,14.13,0.04,13.91,0.05,13.76,0.03,13.59,0.03,12.39,,9.46,0.48,false
M5,21.12,0.04,19.83,18.01,0.01,17.16,0.01,16.7,0.01,15.25,0.05,14.55,0.05,14.39,0.06,14.17,0.03,13.96,0.03,12.76,,9.54,0.5,false
M2,18.64,0.02,17.48,16.43,0.01,15.94,0.01,15.72,0.01,14.55,0.03,13.93,0.04,13.77,0.04,13.61,0.03,13.49,0.03,12.94,,9.4,0.49,false
M1,18.73,0.01,17.52,16.58,0.01,16.17,0.01,15.97,0.01,14.85,0.04,14.2,0.05,13.98,0.05,13.8,0.03,13.7,0.03,12.46,0.29,9.37,0.44,false
M1,17.19,0.01,16.04,15.2,0.01,14.8,0.01,14.61,0.01,13.47,0.02,12.84,0.02,12.63,0.03,12.48,0.02,12.25,0.02,10.23,0.04,7.5,0.08,false
M7,20.23,0.03,18.82,16.41,0.01,15.23,0.01,14.56,0.01,13.0,0.02,12.37,0.02,11.95,0.02,11.73,0.02,11.49,0.02,11.21,0.11,9.09,0.38,false
M0,17.78,0.01,16.65,16.0,0.01,15.7,0.01,15.54,0.01,14.34,0.03,13.8,0.04,13.71,0.06,13.12,0.03,13.06,0.03,11.13,0.12,9.13,0.39,false
M4,20.1,0.02,18.86,17.32,0.01,16.61,0.01,16.28,0.01,15.0,0.04,14.46,0.06,14.08,0.05,13.86,0.02,13.56,0.03,11.96,0.13,8.91,0.23,false
M2,18.04,0.01,16.82,15.86,0.02,15.37,0.01,15.14,0.01,13.91,0.03,13.21,0.03,13.06,0.03,12.84,0.02,12.75,0.03,12.35,0.39,8.88,0.43,false
M2,18.75,0.01,17.45,16.48,0.01,16.03,0.01,15.82,0.01,14.63,0.04,14.06,0.04,13.84,0.07,13.69,0.03,13.53,0.03,12.18,,8.84,0.48,false
M4,19.08,0.01,17.8,16.13,0.01,15.35,0.01,14.98,0.01,13.66,0.02,13.12,0.03,12.81,0.03,12.65,0.02,12.45,0.02,12.3,0.37,8.72,0.44,false
M3,17.9,0.01,16.78,15.44,0.01,14.85,0.01,14.56,0.01,13.35,0.02,12.79,0.02,12.6,0.02,12.44,0.02,12.22,0.02,11.46,0.16,8.92,0.51,false
M3,19.13,0.01,17.93,16.83,0.01,16.34,0.01,16.1,0.01,14.96,0.04,14.33,0.05,14.14,0.06,13.99,0.03,13.84,0.03,12.32,,9.19,0.51,false
M2,17.93,0.01,16.77,15.65,0.01,15.15,0.01,14.91,0.01,13.72,0.02,13.07,0.03,12.86,0.03,12.76,0.02,12.67,0.03,11.8,,8.68,0.53,false
M0,18.83,0.01,17.59,16.9,0.01,16.6,0.01,16.41,0.01,15.45,0.04,14.62,0.06,14.34,0.08,14.38,0.03,14.28,0.04,12.47,,8.78,0.37,false
M0,17.53,0.01,16.31,15.64,0.01,15.33,0.01,15.16,0.01,14.05,0.03,13.31,0.04,13.19,0.04,13.08,0.02,13.07,0.03,11.81,,8.73,0.47,false
M4,18.28,0.01,17.08,15.54,0.01,14.84,0.01,14.5,0.01,13.21,0.02,12.68,0.02,12.43,0.03,12.26,0.02,12.08,0.02,12.39,0.51,8.66,0.54,false
M4,18.91,0.01,17.62,15.96,0.01,15.18,0.01,14.8,0.01,13.49,0.02,12.94,0.03,12.62,0.03,12.37,0.02,12.16,0.02,11.66,0.27,8.8,0.54,false
M1,18.43,0.01,17.24,16.66,0.01,16.38,0.01,16.22,0.01,15.2,0.05,14.36,0.04,14.31,0.07,14.19,0.03,14.12,0.05,11.89,,8.95,0.53,false
M3,19.42,0.01,18.19,16.97,0.01,16.41,0.01,16.13,0.01,14.96,0.04,14.19,0.05,14.03,0.06,13.86,0.03,13.81,0.04,11.78,,8.7,0.54,false
M0,17.87,0.01,16.71,15.98,0.01,15.66,0.01,15.47,0.01,14.39,0.03,13.72,0.04,13.56,0.05,13.49,0.03,13.44,0.04,11.05,,8.51,0.49,false
M1,17.99,0.01,16.73,15.9,0.01,15.51,0.01,15.31,0.01,14.2,0.03,13.5,0.03,13.34,0.04,13.16,0.03,13.19,0.03,11.92,,9.04,0.54,false
M2,18.55,0.01,17.31,16.35,0.01,15.9,0.01,15.66,0.01,14.49,0.03,13.87,0.04,13.58,0.05,13.48,0.03,13.42,0.03,12.35,0.46,8.61,0.37,false
M3,17.88,0.01,16.68,15.4,0.01,14.81,0.01,14.53,0.01,13.32,0.03,12.72,0.03,12.44,0.03,12.31,0.02,12.18,0.02,11.89,0.3,8.74,0.44,false
M2,18.53,0.01,17.38,16.44,0.01,16.03,0.01,15.81,0.01,14.69,0.03,14.0,0.04,13.77,0.05,13.77,0.03,13.66,0.04,12.43,,9.05,0.51,false
M2,18.61,0.01,17.45,16.62,0.01,16.23,0.01,16.03,0.01,14.84,0.04,14.2,0.06,14.01,0.04,14.0,0.03,13.95,0.04,11.93,,8.78,0.42,false
M0,18.28,0.01,17.04,16.35,0.01,16.0,0.01,15.83,0.01,14.73,0.04,14.06,0.05,13.92,0.05,13.78,0.03,13.69,0.04,11.99,,8.95,0.53,false
M0,18.2,0.01,16.97,16.19,0.01,15.83,0.01,15.64,0.01,14.49,0.03,13.76,0.04,13.58,0.04,13.53,0.03,13.52,0.04,12.14,,8.58,0.43,false
M2,19.14,0.02,17.89,16.79,0.01,16.28,0.01,16.02,0.01,14.87,0.05,14.32,0.06,13.96,0.06,13.87,0.03,13.76,0.04,12.57,,8.86,0.54,false
M2,18.42,0.01,17.17,16.31,0.01,15.9,0.01,15.7,0.01,14.55,0.03,13.98,0.04,13.7,0.04,13.61,0.03,13.53,0.04,11.66,,8.43,0.4,false
F0V,8.807,,8.67,8.673,,8.72,,8.751,,7.974,0.032,7.81,0.055,7.773,0.017,7.693,0.03,7.72,0.02,7.705,0.018,7.61,0.134,false
G5,10.102,,9.399,9.137,,9.008,,8.92,,7.893,0.034,7.384,0.038,7.262,0.016,7.189,0.038,7.278,0.02,7.224,0.016,7.161,0.08,false
G0,9.875,,9.489,9.369,,9.34,,9.326,,8.441,0.027,8.109,0.033,8.047,0.026,7.968,0.024,7.982,0.02,7.942,0.019,7.738,0.135,false
F5,10.812,,10.609,10.559,,10.557,,10.557,,9.74,0.023,9.569,0.024,9.506,0.02,9.477,0.023,9.487,0.02,9.432,0.033,8.798,,false
K5III,9.163,,7.697,6.973,,6.511,,6.243,,4.911,0.278,3.821,0.252,3.733,0.272,3.579,0.316,3.329,0.2,3.578,0.015,3.467,0.021,false
G0/3V,10.637,,10.309,10.187,,10.142,,10.133,,9.269,0.02,9.007,0.018,8.903,0.022,8.871,0.023,8.851,0.02,8.738,0.025,8.316,0.241,false
G5/6V,10.503,,9.819,9.512,,9.34,,9.255,,8.237,0.027,7.763,0.021,7.621,0.026,7.528,0.032,7.594,0.02,7.518,0.017,7.398,0.106,false
A0IV,10.906,,11.001,11.121,,11.208,,11.239,,10.554,0.023,10.569,0.026,10.474,0.022,10.478,0.023,10.495,0.021,10.576,0.077,9.185,,false
K1/2III,8.059,,7.145,6.747,,6.506,,6.368,,5.285,0.026,4.894,0.076,4.489,0.015,4.412,0.227,4.231,0.139,4.388,0.015,4.312,0.027,false
B9V,7.0562,0.0722,7.2155,7.3649,0.001,7.2861,0.001,11.3351,,6.753,0.026,6.785,0.051,6.776,0.021,6.717,0.051,6.698,0.028,6.8,0.023,6.738,0.093,false
K0,9.892,,9.159,8.878,,8.734,,8.637,,7.602,0.023,7.11,0.038,6.932,0.023,6.875,0.06,6.966,0.02,6.895,0.017,6.734,0.077,false
A0,8.515,,8.727,8.927,,9.078,,9.137,,8.522,0.02,8.544,0.026,8.502,0.02,8.504,0.024,8.529,0.02,8.523,0.022,8.31,0.313,false
F2/3,12.126,,11.663,11.456,,11.347,,11.312,,10.358,0.024,10.031,0.03,9.978,0.023,9.894,0.023,9.895,0.019,9.919,0.058,8.587,0.417,false
sdB,15.4812,0.0033,15.5078,15.6378,0.0021,15.7362,0.0032,15.7834,0.0041,15.242,0.045,15.171,0.097,15.186,0.121,15.26,0.044,15.555,0.129,12.339,,8.605,,false
G8,11.694,,11.13,10.89,,10.765,,10.71,,9.733,0.024,9.343,0.024,9.224,0.022,9.227,0.023,9.248,0.02,9.166,0.033,8.107,,false
A0,10.3265,0.0388,10.3573,10.5891,0.0791,11.8159,0.414,10.5828,0.0292,9.881,0.019,9.858,0.031,9.884,0.024,9.824,0.023,9.841,0.02,9.712,0.046,8.381,,false
K3:,14.4357,0.0046,12.88,12.454,,12.203,,12.1218,0.0111,10.889,0.027,10.222,0.034,10.069,0.02,9.883,0.023,9.907,0.022,9.837,0.058,8.152,,false
G0,7.919,,7.532,7.413,,7.382,,7.369,,6.483,0.029,6.182,0.073,6.097,0.023,6.118,0.092,6.039,0.034,6.112,0.016,6.079,0.049,false
G5,8.993,,8.27,7.955,,7.777,,7.685,,6.631,0.019,6.22,0.075,6.036,0.021,6.029,0.108,5.921,0.044,5.982,0.016,5.956,0.066,false
G,9.489,,9.123,8.994,,8.949,,8.939,,8.047,0.023,7.758,0.027,7.695,0.024,7.648,0.03,7.689,0.02,7.642,0.02,7.336,0.159,false
F5,9.9095,0.1078,9.9076,8.6216,0.001,,,9.034,0.001,7.716,0.018,7.361,0.018,7.251,0.016,7.16,0.038,7.171,0.021,7.192,0.02,7.229,0.14,false
G0,10.871,,10.609,10.52,,10.486,,10.472,,9.625,0.023,9.426,0.024,9.354,0.025,9.283,0.023,9.296,0.021,9.27,0.046,8.842,,false
B2,11.425,,11.088,10.916,,10.769,,10.699,,9.816,0.02,9.658,0.016,9.424,0.016,10.109,0.021,9.957,0.018,9.098,0.032,8.375,0.294,false
G0,10.946,,10.586,10.444,,10.383,,10.366,,9.475,0.02,9.207,0.016,9.134,0.016,9.099,0.023,9.139,0.019,9.119,0.037,8.607,,false
F5,11.472,,11.211,11.123,,11.088,,11.074,,10.229,0.02,10.029,0.016,9.959,0.014,9.926,0.022,9.944,0.019,9.909,0.071,8.317,0.316,false
F5,11.8668,0.0066,11.4342,10.8862,0.0897,11.7573,0.2502,11.1173,0.001,10.229,0.02,10.029,0.016,9.959,0.014,9.926,0.022,9.944,0.019,9.909,0.071,8.317,0.316,false
B5,10.743,,10.871,10.998,,11.104,,11.262,,10.591,0.021,10.598,0.023,10.619,0.022,10.614,0.023,10.663,0.021,10.911,0.131,9.045,,false
A4mF3,13.3775,0.0016,13.395,13.225,,13.0696,0.0059,13.0121,0.0026,12.215,0.021,12.012,0.03,11.945,0.022,11.913,0.023,11.951,0.022,12.439,0.481,8.679,,false
M0,14.4848,0.0085,13.336,12.875,,12.588,,12.4497,0.0143,11.251,0.023,10.604,0.023,10.425,0.021,10.33,0.023,10.248,0.02,10.112,0.064,9.114,,false
G6V,10.152,,9.548,9.314,,9.199,,9.135,,8.137,0.019,7.703,0.027,7.627,0.021,7.533,0.032,7.587,0.019,7.546,0.019,7.44,0.129,false
K0III,7.67,,6.907,6.605,,6.446,,6.342,,5.345,0.026,4.927,0.076,4.613,0.018,4.588,0.242,4.437,0.111,4.589,0.016,4.506,0.026,false
F5,10.114,,9.963,9.961,,10.01,,10.043,,9.256,0.027,9.066,0.026,9.037,0.023,8.982,0.022,9.008,0.02,9.088,0.041,8.673,,false
F5,10.2621,0.0388,10.2721,10.4329,0.1448,9.9223,0.0633,12.1242,0.0011,9.256,0.027,9.066,0.026,9.037,0.023,8.982,0.022,9.008,0.02,9.088,0.041,8.673,,false
G0,11.236,,11.038,11.001,,11.017,,11.034,,10.224,0.027,10.02,0.024,9.987,0.024,9.94,0.023,9.965,0.02,10.084,0.066,8.95,,false
A0,10.77,,10.77,10.824,,10.852,,10.866,,10.129,0.027,10.071,0.024,9.997,0.024,9.938,0.024,9.948,0.02,9.737,0.062,8.35,,false
G0,11.26,,11.034,10.977,,10.977,,10.987,,10.156,0.026,9.948,0.023,9.913,0.024,9.861,0.023,9.877,0.02,9.722,0.058,8.717,0.371,false
M2e,16.7204,0.0121,15.4981,14.4692,0.003,13.9703,0.0032,13.7161,0.0046,12.533,0.027,11.764,0.024,11.47,0.021,11.158,0.023,10.778,0.02,8.645,0.03,6.664,0.069,false
F5,10.984,,10.883,10.868,,10.828,,10.845,,10.088,0.026,9.954,0.024,9.887,0.023,9.845,0.023,9.862,0.022,9.716,0.053,8.271,,false
K6e,15.214,0.0053,14.2691,13.8068,0.0127,13.6568,0.011,13.5151,0.0027,12.442,0.03,11.785,0.023,11.679,0.024,11.597,0.024,11.609,0.021,11.985,0.412,8.738,,false
A3,10.802,,10.696,10.711,,10.753,,10.769,,10.023,0.028,9.874,0.023,9.817,0.021,9.762,0.023,9.763,0.02,9.761,0.058,8.615,,false
K0,11.156,,10.392,10.092,,9.932,,9.829,,8.772,0.027,8.218,0.042,8.086,0.027,7.985,0.024,8.058,0.021,7.967,0.024,7.69,0.187,false
A0,10.644,,10.704,10.795,,10.857,,10.885,,10.185,0.027,10.141,0.024,10.077,0.024,10.024,0.023,10.044,0.02,9.77,0.057,7.665,0.163,false
F2,8.281,,8.184,8.175,,8.163,,8.149,,7.377,0.02,7.278,0.034,7.187,0.02,7.078,0.041,7.174,0.02,7.17,0.019,7.222,0.155,false
dM2.5+DA,19.5934,0.0078,18.5491,17.4779,0.0035,16.9607,0.0037,16.6872,0.0061,15.482,0.057,14.971,0.077,14.698,0.104,14.541,0.031,14.342,0.052,12.01,,8.672,,false
KIII,16.5945,0.0028,15.9099,15.6044,0.0015,15.458,0.0029,15.3444,0.0026,14.333,0.023,13.756,0.026,13.58,0.048,13.569,0.024,13.647,0.035,12.086,,8.451,,false
M2V,20.2876,0.011,19.0723,18.1502,0.0083,17.7258,0.007,17.5072,0.0125,16.257,0.115,15.881,0.157,16.275,,15.441,0.041,15.298,0.099,11.923,,8.468,,false
M2V,20.3722,0.0231,19.1431,18.1218,0.007,17.6684,0.0055,17.4278,0.0107,16.101,0.077,15.757,0.101,15.305,0.174,15.442,0.045,15.247,0.102,12.421,,8.869,,false
M0V,20.5889,0.0553,19.4878,18.8126,0.0113,18.5011,0.0096,18.3769,0.0167,17.118,0.179,16.531,0.232,15.548,0.205,16.419,0.08,16.145,0.202,12.536,,8.291,,false
M1V,20.3831,0.0325,19.2024,18.4093,0.006,18.049,0.0121,17.8479,0.0217,16.838,0.137,16.342,0.191,15.637,0.268,15.508,0.046,15.414,0.109,11.736,,8.734,,false
M1V,18.9983,9.0E-4,17.7905,17.0544,0.0046,16.7084,0.0087,16.54,0.005,15.368,0.054,14.882,0.048,14.492,0.092,14.3,0.029,14.147,0.048,11.864,,8.858,,false
M2V,18.3799,0.0086,17.1606,16.0962,0.0034,15.5927,0.0081,15.3718,0.0039,14.214,0.028,13.547,0.026,13.329,0.038,13.245,0.025,13.166,0.032,12.036,,8.567,,false
M0V,18.6339,0.0057,17.4467,16.7761,0.0053,16.4659,0.0065,16.275,0.0035,15.167,0.037,14.444,0.051,14.28,0.067,14.25,0.029,14.237,0.053,11.737,,8.89,,false
M6,13.354,,11.218,9.932,,8.986,,8.553,,6.77,0.02,5.783,0.034,5.379,0.021,5.305,0.153,5.126,0.065,4.752,0.014,4.151,0.023,false
